Genome,10_S15.sorted Relative Abundance (%),12_S16.sorted Relative Abundance (%),13_S17.sorted Relative Abundance (%),14_S18.sorted Relative Abundance (%),1_S6.sorted Relative Abundance (%),2_S7.sorted Relative Abundance (%),3_S8.sorted Relative Abundance (%),4_S9.sorted Relative Abundance (%),5_S10.sorted Relative Abundance (%),6_S11.sorted Relative Abundance (%),7_S12.sorted Relative Abundance (%),8_S13.sorted Relative Abundance (%),9_S14.sorted Relative Abundance (%),TotalAbundance
binning_output.001,0.36159253,0.0,8.530977,0.46121696,4.798676,0.0,2.4259562,2.1347775,4.9913898,0.23976652,3.0293667,0.6882633,6.123969,33.78595151
binning_output.002,1.1640283,0.031317893,0.435229,0.03437785,0.0,0.0,6.171662,3.367384,1.9860797,0.4059431,4.193783,1.7588866,2.466816,22.015507443
binning_output.003,0.3301615,0.52387446,1.7008996,0.13600273,6.5518155,0.0,1.68738,1.3937578,1.2212647,0.22801533,1.0549871,0.4175942,0.94987786,16.19563078
binning_output.004,0.13468492,0.0,0.0,0.0,1.7896245,0.0,1.5261424,0.7854805,3.732022,0.11132324,1.9049484,0.3548459,4.7439384,15.083010260000002
binning_output.006,0.6331044,0.029718617,0.0,0.0644252,0.0,0.0,3.1339042,1.5572706,1.0671566,0.26272473,2.2803457,0.95833224,1.3461586,11.333140887
binning_output.009,0.10230067,0.0,0.0,0.0,0.0,0.0,1.258164,0.056926522,3.442543,0.09893404,1.5679688,0.26392403,4.036932,10.827693062
binning_output.005,0.14952984,0.6609037,0.0,4.495253,1.6938121,0.41778168,0.5407141,1.1662513,0.29828373,0.12491217,0.48638463,0.2364647,0.2694952,10.53978615
binning_output.007,0.22011064,1.3340315,0.41513357,0.0,2.522191,0.0,1.1386478,0.28363234,0.61679,0.15195914,0.5887048,0.23406266,0.506789,8.01205245
binning_output.010,0.0,0.0,7.429002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.429002
binning_output.012,1.5667213,0.0,0.12711881,0.9608336,0.6388734,0.3397208,0.21088436,0.22505592,0.4848848,0.8572668,0.25845206,0.5961738,0.6153218,6.8813074499999995
